"","Año","Clave_Ent","Entidad","Bien.jurídico.afectado","Tipo.de.delito","Subtipo.de.delito","Modalidad","Sexo","Rango.de.edad","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"1",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Menores de edad (0-17)",2,0,0,2,0,0,0,0,0,0,0,0
"2",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,1,0,0,0,0,0,0
"3",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Menores de edad (0-17)",2,0,2,0,0,0,0,0,0,1,0,0
"4",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,1
"5",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"6",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,2,0,0,0,0,0,0,0,0,0
"7",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Menores de edad (0-17)",0,2,1,0,0,0,0,0,0,0,1,1
"8",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"9",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Adultos (18 y más)",2,3,1,3,2,1,2,1,1,4,1,3
"10",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Adultos (18 y más)",2,0,0,1,1,2,0,1,2,0,1,1
"11",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Adultos (18 y más)",2,0,1,1,4,0,0,3,5,0,2,0
"12",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Adultos (18 y más)",1,0,1,0,0,0,1,1,0,0,0,0
"13",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Adultos (18 y más)",1,0,1,0,1,0,3,1,1,5,3,2
"14",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Adultos (18 y más)",0,0,3,0,0,1,0,1,2,1,2,1
"15",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Adultos (18 y más)",2,3,3,2,0,0,2,1,1,2,1,2
"16",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Adultos (18 y más)",1,0,0,0,0,4,0,2,2,0,0,0
"17",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","No especificado",0,0,0,0,0,0,2,0,0,0,0,0
"18",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,1,0
"19",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","No especificado",0,1,0,0,0,0,0,0,1,0,0,0
"20",2015,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","No especificado",0,0,0,0,0,0,0,1,0,0,0,0
"21",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"22",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","No especificado",0,0,0,0,1,0,0,0,0,0,0,0
"23",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"24",2015,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"25",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Menores de edad (0-17)",1,0,0,0,1,0,1,1,0,0,1,0
"26",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"27",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Menores de edad (0-17)",0,1,0,0,0,0,0,0,1,0,0,0
"28",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"29",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,1,0,0,0
"30",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,1,0,0,0,0,0,0,0,0,0
"31",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Menores de edad (0-17)",2,0,0,1,1,0,0,0,0,0,1,0
"32",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"33",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Adultos (18 y más)",1,6,1,4,0,2,3,3,5,1,2,0
"34",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Adultos (18 y más)",0,1,4,1,1,0,0,3,0,0,3,1
"35",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Adultos (18 y más)",2,1,1,0,0,0,2,2,2,0,2,2
"36",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Adultos (18 y más)",0,0,0,0,2,5,0,0,0,0,0,0
"37",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Adultos (18 y más)",0,2,0,1,1,0,0,1,1,0,0,0
"38",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Adultos (18 y más)",0,2,1,1,0,0,0,0,1,1,0,1
"39",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Adultos (18 y más)",0,3,1,1,1,0,2,2,3,0,1,1
"40",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Adultos (18 y más)",0,0,0,0,0,0,0,0,0,0,0,1
"41",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","No especificado",0,3,0,0,0,0,0,0,0,1,0,0
"42",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","No especificado",0,0,0,0,0,0,0,0,0,0,0,0
"43",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","No especificado",0,0,0,2,1,1,1,0,1,1,0,2
"44",2016,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","No especificado",0,0,0,0,0,1,0,0,0,0,0,0
"45",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","No especificado",0,0,0,0,0,1,0,0,0,0,0,0
"46",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","No especificado",0,0,1,1,0,0,2,0,0,0,0,0
"47",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","No especificado",0,0,2,1,0,1,0,0,0,1,0,0
"48",2016,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","No especificado",0,0,0,0,0,0,0,0,0,1,0,2
"49",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Menores de edad (0-17)",0,1,0,1,0,0,0,1,0,2,0,0
"50",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"51",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Menores de edad (0-17)",0,0,0,0,0,2,0,1,2,0,0,1
"52",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Menores de edad (0-17)",0,0,0,1,0,0,0,0,0,0,0,0
"53",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"54",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma blanca","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"55",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con otro elemento","Mujer","Menores de edad (0-17)",0,0,0,0,1,0,0,0,0,0,0,0
"56",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","No especificado","Mujer","Menores de edad (0-17)",0,0,0,0,0,0,0,0,0,0,0,0
"57",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma de fuego","Mujer","Adultos (18 y más)",4,4,4,6,3,4,4,5,4,6,2,4
"58",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con arma blanca","Mujer","Adultos (18 y más)",2,0,1,1,1,3,1,1,3,0,0,1
"59",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","Con otro elemento","Mujer","Adultos (18 y más)",3,1,1,1,6,2,2,0,2,1,5,1
"60",2017,14,"Jalisco","La vida y la Integridad corporal","Homicidio","Homicidio doloso","No especificado","Mujer","Adultos (18 y más)",0,1,0,0,0,0,0,0,0,0,0,0
"61",2017,14,"Jalisco","La vida y la Integridad corporal","Feminicidio","Feminicidio","Con arma de fuego","Mujer","Adultos (18 y más)",0,0,0,1,0,0,0,1,0,0,0,3
