"","fecha","zona","sexo","registro","mes","año","month"
"1",2020-03-01,"Puerto Vallarta","Mujeres",4,"2020-03","2020","Marzo"
"2",2020-03-01,"Estado de Jalisco","Mujeres",20,"2020-03","2020","Marzo"
"3",2020-03-01,"AVGM","Mujeres",15,"2020-03","2020","Marzo"
"4",2020-03-02,"Puerto Vallarta","Mujeres",6,"2020-03","2020","Marzo"
"5",2020-03-02,"Estado de Jalisco","Mujeres",39,"2020-03","2020","Marzo"
"6",2020-03-02,"AVGM","Mujeres",19,"2020-03","2020","Marzo"
"7",2020-03-03,"Puerto Vallarta","Mujeres",1,"2020-03","2020","Marzo"
"8",2020-03-03,"AVGM","Mujeres",31,"2020-03","2020","Marzo"
"9",2020-03-03,"Estado de Jalisco","Mujeres",39,"2020-03","2020","Marzo"
"10",2020-03-04,"AVGM","Mujeres",30,"2020-03","2020","Marzo"
"11",2020-03-04,"Puerto Vallarta","Mujeres",0,"2020-03","2020","Marzo"
"12",2020-03-04,"Estado de Jalisco","Mujeres",39,"2020-03","2020","Marzo"
"13",2020-03-05,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"14",2020-03-05,"AVGM","Mujeres",20,"2020-03","2020","Marzo"
"15",2020-03-05,"Estado de Jalisco","Mujeres",28,"2020-03","2020","Marzo"
"16",2020-03-06,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"17",2020-03-06,"Estado de Jalisco","Mujeres",37,"2020-03","2020","Marzo"
"18",2020-03-06,"AVGM","Mujeres",25,"2020-03","2020","Marzo"
"19",2020-03-07,"Estado de Jalisco","Mujeres",29,"2020-03","2020","Marzo"
"20",2020-03-07,"AVGM","Mujeres",23,"2020-03","2020","Marzo"
"21",2020-03-07,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"22",2020-03-08,"AVGM","Mujeres",18,"2020-03","2020","Marzo"
"23",2020-03-08,"Estado de Jalisco","Mujeres",21,"2020-03","2020","Marzo"
"24",2020-03-08,"Puerto Vallarta","Mujeres",1,"2020-03","2020","Marzo"
"25",2020-03-09,"Estado de Jalisco","Mujeres",36,"2020-03","2020","Marzo"
"26",2020-03-09,"AVGM","Mujeres",27,"2020-03","2020","Marzo"
"27",2020-03-09,"Puerto Vallarta","Mujeres",1,"2020-03","2020","Marzo"
"28",2020-03-10,"Puerto Vallarta","Mujeres",4,"2020-03","2020","Marzo"
"29",2020-03-10,"Estado de Jalisco","Mujeres",48,"2020-03","2020","Marzo"
"30",2020-03-10,"AVGM","Mujeres",35,"2020-03","2020","Marzo"
"31",2020-03-11,"AVGM","Mujeres",33,"2020-03","2020","Marzo"
"32",2020-03-11,"Puerto Vallarta","Mujeres",3,"2020-03","2020","Marzo"
"33",2020-03-11,"Estado de Jalisco","Mujeres",42,"2020-03","2020","Marzo"
"34",2020-03-12,"Puerto Vallarta","Mujeres",8,"2020-03","2020","Marzo"
"35",2020-03-12,"AVGM","Mujeres",36,"2020-03","2020","Marzo"
"36",2020-03-12,"Estado de Jalisco","Mujeres",52,"2020-03","2020","Marzo"
"37",2020-03-13,"Puerto Vallarta","Mujeres",4,"2020-03","2020","Marzo"
"38",2020-03-13,"Estado de Jalisco","Mujeres",40,"2020-03","2020","Marzo"
"39",2020-03-13,"AVGM","Mujeres",24,"2020-03","2020","Marzo"
"40",2020-03-14,"Puerto Vallarta","Mujeres",1,"2020-03","2020","Marzo"
"41",2020-03-14,"Estado de Jalisco","Mujeres",27,"2020-03","2020","Marzo"
"42",2020-03-14,"AVGM","Mujeres",24,"2020-03","2020","Marzo"
"43",2020-03-15,"Estado de Jalisco","Mujeres",19,"2020-03","2020","Marzo"
"44",2020-03-15,"AVGM","Mujeres",17,"2020-03","2020","Marzo"
"45",2020-03-15,"Puerto Vallarta","Mujeres",1,"2020-03","2020","Marzo"
"46",2020-03-16,"Puerto Vallarta","Mujeres",3,"2020-03","2020","Marzo"
"47",2020-03-16,"Estado de Jalisco","Mujeres",32,"2020-03","2020","Marzo"
"48",2020-03-16,"AVGM","Mujeres",25,"2020-03","2020","Marzo"
"49",2020-03-17,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"50",2020-03-17,"AVGM","Mujeres",26,"2020-03","2020","Marzo"
"51",2020-03-17,"Estado de Jalisco","Mujeres",43,"2020-03","2020","Marzo"
"52",2020-03-18,"Puerto Vallarta","Mujeres",3,"2020-03","2020","Marzo"
"53",2020-03-18,"Estado de Jalisco","Mujeres",44,"2020-03","2020","Marzo"
"54",2020-03-18,"AVGM","Mujeres",30,"2020-03","2020","Marzo"
"55",2020-03-19,"Puerto Vallarta","Mujeres",1,"2020-03","2020","Marzo"
"56",2020-03-19,"AVGM","Mujeres",40,"2020-03","2020","Marzo"
"57",2020-03-19,"Estado de Jalisco","Mujeres",47,"2020-03","2020","Marzo"
"58",2020-03-20,"AVGM","Mujeres",13,"2020-03","2020","Marzo"
"59",2020-03-20,"Estado de Jalisco","Mujeres",26,"2020-03","2020","Marzo"
"60",2020-03-20,"Puerto Vallarta","Mujeres",4,"2020-03","2020","Marzo"
"61",2020-03-21,"AVGM","Mujeres",14,"2020-03","2020","Marzo"
"62",2020-03-21,"Estado de Jalisco","Mujeres",17,"2020-03","2020","Marzo"
"63",2020-03-21,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"64",2020-03-22,"Estado de Jalisco","Mujeres",14,"2020-03","2020","Marzo"
"65",2020-03-22,"AVGM","Mujeres",11,"2020-03","2020","Marzo"
"66",2020-03-22,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"67",2020-03-23,"Estado de Jalisco","Mujeres",31,"2020-03","2020","Marzo"
"68",2020-03-23,"AVGM","Mujeres",20,"2020-03","2020","Marzo"
"69",2020-03-23,"Puerto Vallarta","Mujeres",4,"2020-03","2020","Marzo"
"70",2020-03-24,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"71",2020-03-24,"AVGM","Mujeres",20,"2020-03","2020","Marzo"
"72",2020-03-24,"Estado de Jalisco","Mujeres",29,"2020-03","2020","Marzo"
"73",2020-03-25,"Puerto Vallarta","Mujeres",3,"2020-03","2020","Marzo"
"74",2020-03-25,"Estado de Jalisco","Mujeres",40,"2020-03","2020","Marzo"
"75",2020-03-25,"AVGM","Mujeres",27,"2020-03","2020","Marzo"
"76",2020-03-26,"AVGM","Mujeres",24,"2020-03","2020","Marzo"
"77",2020-03-26,"Puerto Vallarta","Mujeres",2,"2020-03","2020","Marzo"
"78",2020-03-26,"Estado de Jalisco","Mujeres",36,"2020-03","2020","Marzo"
"79",2020-03-27,"Puerto Vallarta","Mujeres",4,"2020-03","2020","Marzo"
"80",2020-03-27,"Estado de Jalisco","Mujeres",35,"2020-03","2020","Marzo"
"81",2020-03-27,"AVGM","Mujeres",25,"2020-03","2020","Marzo"
"82",2020-03-28,"Estado de Jalisco","Mujeres",23,"2020-03","2020","Marzo"
"83",2020-03-28,"AVGM","Mujeres",20,"2020-03","2020","Marzo"
"84",2020-03-28,"Puerto Vallarta","Mujeres",0,"2020-03","2020","Marzo"
"85",2020-03-29,"AVGM","Mujeres",10,"2020-03","2020","Marzo"
"86",2020-03-29,"Puerto Vallarta","Mujeres",0,"2020-03","2020","Marzo"
"87",2020-03-29,"Estado de Jalisco","Mujeres",15,"2020-03","2020","Marzo"
"88",2020-03-30,"Puerto Vallarta","Mujeres",3,"2020-03","2020","Marzo"
"89",2020-03-30,"Estado de Jalisco","Mujeres",41,"2020-03","2020","Marzo"
"90",2020-03-30,"AVGM","Mujeres",26,"2020-03","2020","Marzo"
"91",2020-03-31,"AVGM","Mujeres",33,"2020-03","2020","Marzo"
"92",2020-03-31,"Puerto Vallarta","Mujeres",1,"2020-03","2020","Marzo"
"93",2020-03-31,"Estado de Jalisco","Mujeres",46,"2020-03","2020","Marzo"
"94",2020-04-01,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"95",2020-04-01,"AVGM","Mujeres",12,"2020-04","2020","Abril"
"96",2020-04-01,"Estado de Jalisco","Mujeres",28,"2020-04","2020","Abril"
"97",2020-04-02,"Estado de Jalisco","Mujeres",33,"2020-04","2020","Abril"
"98",2020-04-02,"AVGM","Mujeres",23,"2020-04","2020","Abril"
"99",2020-04-02,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"100",2020-04-03,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"101",2020-04-03,"AVGM","Mujeres",27,"2020-04","2020","Abril"
"102",2020-04-03,"Estado de Jalisco","Mujeres",37,"2020-04","2020","Abril"
"103",2020-04-04,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"104",2020-04-04,"Estado de Jalisco","Mujeres",16,"2020-04","2020","Abril"
"105",2020-04-04,"AVGM","Mujeres",15,"2020-04","2020","Abril"
"106",2020-04-05,"Estado de Jalisco","Mujeres",17,"2020-04","2020","Abril"
"107",2020-04-05,"AVGM","Mujeres",14,"2020-04","2020","Abril"
"108",2020-04-05,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"109",2020-04-06,"AVGM","Mujeres",27,"2020-04","2020","Abril"
"110",2020-04-06,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"111",2020-04-06,"Estado de Jalisco","Mujeres",39,"2020-04","2020","Abril"
"112",2020-04-07,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"113",2020-04-07,"Estado de Jalisco","Mujeres",52,"2020-04","2020","Abril"
"114",2020-04-07,"AVGM","Mujeres",36,"2020-04","2020","Abril"
"115",2020-04-08,"AVGM","Mujeres",24,"2020-04","2020","Abril"
